dataset,feature,correlation_score,stability_score,composite_importance,recommendation
diabetes_012,Sex,0.031040163652105886,0.9972203729435629,0.32089422643954296,HIGH
diabetes_binary_full,Sex,0.03142999802068112,0.9952730570687598,0.3205829157351047,HIGH
diabetes_binary_full,Veggies,0.056584137064162286,0.9227633481564953,0.31643790039186215,HIGH
diabetes_binary_5050,AnyHealthcare,0.02319074853112196,1.0005239465292015,0.3163907079305458,HIGH
diabetes_012,AnyHealthcare,0.015410377239766855,1.0105353382820212,0.3139478655524432,HIGH
diabetes_012,Veggies,0.05897159923470444,0.9025090219022402,0.3120328260349652,HIGH
diabetes_binary_full,MentHlth,0.06931508263835524,0.8412458967858307,0.3008943268825979,HIGH
diabetes_binary_full,NoDocbcCost,0.03143276335925913,0.9132910316633449,0.29599024385048484,MEDIUM
diabetes_012,MentHlth,0.07350676620655901,0.7882785852091441,0.28793831190733454,MEDIUM
diabetes_012,Stroke,0.1071786699433978,0.6930281831381855,0.28293352390183407,MEDIUM
diabetes_binary_full,Stroke,0.10581606726811461,0.6766764137271696,0.2770741712058311,MEDIUM
diabetes_012,NoDocbcCost,0.03543568500155102,0.8242868603374143,0.27209103760231,MEDIUM
